season,player,school,position,first,second,third,points,source
2022,Blake Corum,Michigan,RB,8,25,51,125,https://en.wikipedia.org/wiki/2022_NCAA_Division_I_FBS_football_season
2022,Michael Penix Jr.,Washington,QB,9,20,47,114,https://en.wikipedia.org/wiki/2022_NCAA_Division_I_FBS_football_season
2022,Bijan Robinson,Texas,RB,4,12,39,75,https://en.wikipedia.org/wiki/2022_NCAA_Division_I_FBS_football_season
2022,Drake Maye,North Carolina,QB,3,6,21,42,https://en.wikipedia.org/wiki/2022_NCAA_Division_I_FBS_football_season
2023,Jayden Daniels,LSU,QB,503,217,86,2029,https://en.wikipedia.org/wiki/2023_NCAA_Division_I_FBS_football_season
2023,Michael Penix Jr.,Washington,QB,292,341,143,1701,https://en.wikipedia.org/wiki/2023_NCAA_Division_I_FBS_football_season
2023,Bo Nix,Oregon,QB,51,205,322,885,https://en.wikipedia.org/wiki/2023_NCAA_Division_I_FBS_football_season
2023,Marvin Harrison Jr.,Ohio State,WR,20,78,136,352,https://en.wikipedia.org/wiki/2023_NCAA_Division_I_FBS_football_season
2023,Jordan Travis,Florida State,QB,8,19,23,85,https://en.wikipedia.org/wiki/2023_NCAA_Division_I_FBS_football_season
2023,Jalen Milroe,Alabama,QB,4,8,45,73,https://en.wikipedia.org/wiki/2023_NCAA_Division_I_FBS_football_season
2023,Ollie Gordon II,Oklahoma State,RB,1,2,24,31,https://en.wikipedia.org/wiki/2023_NCAA_Division_I_FBS_football_season
2023,Cody Schrader,Missouri,RB,1,2,22,29,https://en.wikipedia.org/wiki/2023_NCAA_Division_I_FBS_football_season
2023,Blake Corum,Michigan,RB,3,2,15,28,https://en.wikipedia.org/wiki/2023_NCAA_Division_I_FBS_football_season
2023,J. J. McCarthy,Michigan,QB,1,7,4,21,https://en.wikipedia.org/wiki/2023_NCAA_Division_I_FBS_football_season
2024,Travis Hunter,Colorado,WR/CB,552,261,53,2231,https://en.wikipedia.org/wiki/2024_NCAA_Division_I_FBS_football_season
2024,Ashton Jeanty,Boise State,RB,309,517,56,2017,https://en.wikipedia.org/wiki/2024_NCAA_Division_I_FBS_football_season
2024,Dillon Gabriel,Oregon,QB,24,52,340,516,https://en.wikipedia.org/wiki/2024_NCAA_Division_I_FBS_football_season
2024,Cam Ward,Miami (FL),QB,6,24,163,229,https://en.wikipedia.org/wiki/2024_NCAA_Division_I_FBS_football_season
2024,Cam Skattebo,Arizona State,RB,3,18,125,170,https://en.wikipedia.org/wiki/2024_NCAA_Division_I_FBS_football_season
2024,Bryson Daily,Army,QB,3,7,46,69,https://en.wikipedia.org/wiki/2024_NCAA_Division_I_FBS_football_season
2024,Tyler Warren,Penn State,TE,1,7,35,52,https://en.wikipedia.org/wiki/2024_NCAA_Division_I_FBS_football_season
2024,Shedeur Sanders,Colorado,QB,1,7,30,47,https://en.wikipedia.org/wiki/2024_NCAA_Division_I_FBS_football_season
2024,Kurtis Rourke,Indiana,QB,2,3,10,22,https://en.wikipedia.org/wiki/2024_NCAA_Division_I_FBS_football_season
2024,Kyle McCord,Syracuse,QB,0,1,7,9,https://en.wikipedia.org/wiki/2024_NCAA_Division_I_FBS_football_season
2025,Fernando Mendoza,Indiana,QB,643,191,51,2362,https://en.wikipedia.org/wiki/2025_NCAA_Division_I_FBS_football_season
2025,Diego Pavia,Vanderbilt,QB,189,352,164,1435,https://en.wikipedia.org/wiki/2025_NCAA_Division_I_FBS_football_season
2025,Jeremiyah Love,Notre Dame,RB,46,157,267,719,https://en.wikipedia.org/wiki/2025_NCAA_Division_I_FBS_football_season
2025,Julian Sayin,Ohio State,QB,8,118,172,432,https://en.wikipedia.org/wiki/2025_NCAA_Division_I_FBS_football_season
2025,Jacob Rodriguez,Texas Tech,LB,17,56,132,295,https://en.wikipedia.org/wiki/2025_NCAA_Division_I_FBS_football_season
2025,Jeremiah Smith,Ohio State,WR,4,18,36,84,https://en.wikipedia.org/wiki/2025_NCAA_Division_I_FBS_football_season
2025,Gunner Stockton,Georgia,QB,3,6,22,31,https://en.wikipedia.org/wiki/2025_NCAA_Division_I_FBS_football_season
2025,Trinidad Chambliss,Ole Miss,QB,2,5,7,14,https://en.wikipedia.org/wiki/2025_NCAA_Division_I_FBS_football_season
2025,Caleb Downs,Ohio State,S,2,3,10,15,https://en.wikipedia.org/wiki/2025_NCAA_Division_I_FBS_football_season
2025,Haynes King,Georgia Tech,QB,2,1,10,13,https://en.wikipedia.org/wiki/2025_NCAA_Division_I_FBS_football_season
